"newsId";"idOriginal"
2;1128
3;1218
5;1246
7;1251
8;1253
12;1257
13;1258
14;1260
16;1264
17;1265
18;1267
23;1279
24;1280
25;1282
27;1285
29;1288
30;1290
32;1294
35;1301
36;1303
38;1306
40;1309
41;1310
42;1311
44;1313
45;1314
46;1316
47;1317
51;1321
53;1325
54;1326
55;1328
56;1334
57;1338
58;1340
62;1356
65;1379
68;1394
69;1395
73;1401
74;1404
75;1405
77;1407
78;1410
79;1412
82;1415
83;1416
88;1422
89;1423
97;1447
98;1459
101;1465
102;1468
106;1521
107;1524
116;1548
117;1549
121;1554
123;1556
125;1562
126;1565
128;1568
129;1573
130;1575
133;1619
134;1622
137;1636
141;1642
142;1643
144;1673
148;1697
149;1698
150;1703
151;1704
152;1714
160;1727
161;1728
164;1752
165;1753
166;1757
171;1768
172;1773
175;1778
176;1779
178;1786
179;1787
181;1793
182;1813
183;1814
185;1816
187;1818
189;1826
191;1839
194;1846
197;1850
198;1854
201;1878
203;1883
204;1889
205;1890
207;1895
208;1896
210;1926
211;1933
216;1961
217;1962
219;1964
221;1966
223;1978
226;2015
232;2036
233;2037
234;2039
235;2040
236;2043
242;2087
243;2091
244;2093
245;2096
246;2102
247;2103
248;2105
251;2114
258;2163
260;2166
263;2170
265;2180
266;2183
269;2204
270;2219
271;2222
272;2223
275;2228
276;2231
278;2234
279;2238
282;2247
284;2252
285;2253
289;2267
290;2273
294;2309
297;488
298;559
299;834
300;920
301;1
303;1007
304;1009
306;1013
307;1019
308;1020
310;1024
312;1027
315;1030
316;1034
317;1038
318;1043
319;1046
321;1065
322;1068
323;107
324;1071
325;1079
327;1084
328;1090
330;1100
331;1104
332;1110
335;112
336;1121
338;1131
340;1141
341;1142
342;1143
344;1149
345;1153
347;1171
348;1178
349;1180
351;1197
353;120
354;1210
355;1213
356;1215
357;1227
358;1228
361;1231
362;1233
363;1234
364;127
366;130
375;1496
376;1497
377;15
378;1500
385;162
389;1678
390;1679
391;171
392;174
397;178
398;18
406;1873
409;1877
410;188
415;1920
416;1921
417;1923
418;194
419;196
421;199
424;2000
425;202
430;2144
432;219
438;250
439;254
442;26
443;261
446;268
449;272
450;277
453;285
457;295
461;300
463;303
465;308
466;310
467;311
468;314
483;49
484;490
485;497
486;499
491;570
492;576
493;583
495;588
500;619
502;626
503;627
507;634
508;638
509;64
512;659
518;681
519;687
523;704
526;71
528;712
531;725
534;737
535;74
537;757
538;758
542;782
543;798
545;805
546;807
547;816
548;819
551;822
552;823
553;824
554;826
555;827
556;828
557;83
560;838
562;842
564;85
566;856
567;86
569;868
572;873
575;876
576;880
577;885
578;888
579;892
584;954
585;955
586;956
588;969
590;972
592;976
594;978
595;979
599;993
